"CycID","BH.Q","ADJ.P","PER","LAG","AMP"
"Cyp2d26","0.839847417840376","0.183333333333333","20","6","0.588482851226044"
"Abcc2","0.839847417840376","0.183333333333333","24","22","0.258200258814041"
"Mecp2","1","1","24","6","0.277973696003992"
"Hnrnpll","1","1","20","0","0.7131768077135"
"Rbm5","1","1","24","0","0.0820614121008014"
"Lima1","0.606912637828668","0.0305555555555556","20","8","0.169752327868749"
"Zmynd11","1","1","24","6","0.0805054498755573"
"Ash1l","0.606912637828668","0.0305555555555556","20","16","0.323988914648968"
"Noc4l","1","1","24","6","0.156845051363092"
"Pcnt","0.839847417840376","0.183333333333333","20","8","1.13231328884004"
"Zmym4","1","1","20","18","0.40070861014678"
"Cstf2","1","1","24","18","0.360403692401725"
"Ankrd11","1","0.611111111111111","20","4","0.176649955702923"
"Col6a5","1","0.611111111111111","24","0","1.04209575982086"
"Gcn1","1","1","20","0","0.329715134107185"
"Nvl","1","1","20","4","0.00119582178222894"
"Kdm1a","1","1","20","0","0.356350783965864"
"Srsf6","1","1","20","14","0.280053328315362"
"Tmem209","1","0.611111111111111","20","14","0.0322408056796247"
"Fasn","1","0.611111111111111","20","6","0.496822647180991"
"Tmem214","1","1","20","10","0.155974349988108"
"Krt14","0.839847417840376","0.183333333333333","24","10","2.40565695972178"
"Nfrkb","1","1","20","18","0.193386346696814"
"Znf800","1","1","24","10","0.0463654076219651"
"Ebna1bp2","1","1","20","10","0.193358058476863"
"Rbm17","1","1","20","2","0.131500184866448"
"Kmt2b","1","1","24","6","0.439639403438037"
"Smu1","1","1","24","6","0.071850147375686"
"Rpl3","1","1","20","16","0.0945785881667297"
"Rbm15b","1","1","24","0","0.176580834266033"
"Srsf1","1","1","20","14","0.401382402280164"
"Myo1c","0.839847417840376","0.183333333333333","20","6","0.233189913914698"
"Jup","0.839847417840376","0.183333333333333","20","6","0.568365151812528"
"Immt","0.839847417840376","0.183333333333333","20","8","0.429852114482689"
"Znf281","0.606912637828668","0.0305555555555556","20","18","0.713092119835299"
"Akap8l","1","1","20","18","0.163331343173586"
"Tcof1","0.606912637828668","0.0305555555555556","20","6","0.823561452985144"
"Man2a1","1","0.611111111111111","20","4","0.27438912793521"
"Nolc1","1","1","20","10","0.144599262379305"
"Mta1","1","1","20","0","0.237214901056363"
"Ddx19a","1","1","20","16","0.104703477807417"
"Mphosph10","1","1","24","6","0.0366887854533403"
"Ugt2b17","1","1","24","6","0.128802522955274"
"Apob","1","1","20","4","0.352678049928196"
"Smarce1","1","1","20","0","0.198264014217853"
"Rbbp4","1","0.611111111111111","24","0","0.156940512878214"
"Krt17","1","1","24","6","1.98156307372261"
"Mtus1","0.839847417840376","0.183333333333333","20","16","0.221683100196879"
"Cstf3","1","1","20","16","0.166805324955578"
"Ugt1a9","1","1","24","0","0.102629288862519"
"Cgnl1","1","1","24","0","0.335064413265903"
"Ptbp1","1","1","20","2","0.62340660840033"
"Bysl","1","1","20","4","0.255945367878192"
"Phf2","0.839847417840376","0.183333333333333","24","10","0.241446599739939"
"Ddx39a","1","1","24","0","0.299951695416268"
"Bcor","1","1","20","0","0.713171341926811"
"Reln","1","1","20","4","0.405170437157562"
"P4hb","1","1","20","8","0.169719764123842"
"Atp2a3","1","1","20","8","0.514744458241669"
"Brd3","1","1","24","6","0.43626168811544"
