BH.Q	ADJ.P	PER	LAG	AMP
Stau1	0.136719892931285	0.00754717031043186	20	16	0.244209554603842
Fkbp5	0.171380583218035	0.0105520953573737	20	18	1.57180950038062
Pias3	0.171380583218035	0.0105520953573737	20	18	1.46752877160002
Emsy	0.171380583218035	0.0105520953573737	20	18	1.38412240607509
Pde4dip	0.171380583218035	0.0105520953573737	20	18	1.3824030015854
C9	0.171380583218035	0.0105520953573737	20	18	1.38197352941065
Vwf	0.171380583218035	0.0105520953573737	20	2	1.32801039918637
Utp23	0.171380583218035	0.0105520953573737	24	20	1.27003325879373
Zfpm1	0.171380583218035	0.0105520953573737	20	18	1.23623610901793
Cmtr1	0.171380583218035	0.0105520953573737	20	18	1.10236613637681
Pex6	0.171380583218035	0.0105520953573737	20	18	1.08939762098883
Ehhadh	0.171380583218035	0.0105520953573737	24	4	1.05677952066415
Atxn1	0.171380583218035	0.0105520953573737	20	18	1.03488093160806
Ythdc2	0.171380583218035	0.0105520953573737	20	18	1.03366782275258
Mpc2	0.171380583218035	0.0105520953573737	20	6	1.02991320880612
Cnn3	0.171380583218035	0.0105520953573737	20	18	0.958015879873472
Rcn1	0.171380583218035	0.0105520953573737	24	22	0.915404135393758
Smad4	0.171380583218035	0.0105520953573737	24	0	0.910515876667648
Dnaja2	0.171380583218035	0.0105520953573737	20	18	0.897167868087796
Akr1c6	0.171380583218035	0.0105520953573737	20	18	0.893144003641352
Cenpc	0.171380583218035	0.0105520953573737	24	6	0.846504079870171
Rcn3	0.171380583218035	0.0105520953573737	24	0	0.844778690329744
Abcg5	0.171380583218035	0.0105520953573737	24	18	0.815327430504834
Igbp1	0.171380583218035	0.0105520953573737	20	18	0.811567203382198
Hspd1	0.171380583218035	0.0105520953573737	20	2	0.781195943770364
Rilp	0.171380583218035	0.0105520953573737	20	18	0.744224508474552
Tinagl1	0.171380583218035	0.0105520953573737	20	2	0.636318523676036
Dnajc7	0.171380583218035	0.0105520953573737	20	18	0.605325662821966
Akap1	0.171380583218035	0.0105520953573737	20	2	0.593412798478902
Cipc	0.171380583218035	0.0105520953573737	24	14	0.555954951363653
Tnni2	0.171380583218035	0.0105520953573737	24	22	0.469668337215261
Ptprb	0.171380583218035	0.0105520953573737	20	2	0.382892799922799
Celf2	0.171380583218035	0.0105520953573737	24	2	0.382294180411734
Tor1a	0.171380583218035	0.0105520953573737	24	20	0.352765757327894
Gemin6	0.201394638546444	0.0145769136180113	20	18	1.46352944829744
Npat	0.201394638546444	0.0145769136180113	20	18	1.31592063583385
Gckr	0.201394638546444	0.0145769136180113	20	18	1.29505069157528
Ido2	0.201394638546444	0.0145769136180113	20	18	1.26072451599628
Rgl3	0.201394638546444	0.0145769136180113	20	18	1.25261517630311
Xiap	0.201394638546444	0.0145769136180113	20	18	1.20341033795006
Eif2d	0.201394638546444	0.0145769136180113	24	0	1.20090070393982
Foxp4	0.201394638546444	0.0145769136180113	20	18	1.17942564806784
Gne	0.201394638546444	0.0145769136180113	20	18	1.12518868653937
Uvssa	0.201394638546444	0.0145769136180113	20	18	1.12344394843211
