BH.Q	ADJ.P	PER	LAG	AMP
Npat	0.0981587962544636	0.00533014872615713	20	18	0.86788453268973
Gpatch2l	0.0981587962544636	0.00533014872615713	24	18	0.851499079355797
Gldc	0.0981587962544636	0.00533014872615713	20	0	0.821783116588685
Ppp6r3	0.0981587962544636	0.00533014872615713	24	18	0.819203817365603
Ppara	0.0981587962544636	0.00533014872615713	20	16	0.804556075152319
Taf1c	0.0981587962544636	0.00533014872615713	24	2	0.801871760790718
Bin3	0.0981587962544636	0.00533014872615713	24	22	0.771452101909464
Btnl9	0.0981587962544636	0.00533014872615713	20	8	0.758766432665624
Pcbp3	0.0981587962544636	0.00533014872615713	22	17.05	0.744148287143
Smtn	0.0981587962544636	0.00533014872615713	20	16	0.736585207307825
Kansl1l	0.0981587962544636	0.00533014872615713	20	18	0.708637834009782
Aqp8	0.0981587962544636	0.00533014872615713	20	6	0.691096742923113
Tbxas1	0.0981587962544636	0.00533014872615713	24	16	0.65149249854034
Rela	0.0981587962544636	0.00533014872615713	20	18	0.61814403909376
Cry1	0.0981587962544636	0.00533014872615713	24	18	0.614369608424297
Angel2	0.0981587962544636	0.00533014872615713	20	18	0.607294362759838
Shmt2	0.0981587962544636	0.00533014872615713	24	0	0.604269768841048
Per2	0.0981587962544636	0.00533014872615713	20	18	0.595129827144004
Dock1	0.0981587962544636	0.00533014872615713	20	0	0.550832478345041
Hnrnpm	0.0981587962544636	0.00533014872615713	24	18	0.548889385853292
Dusp11	0.0981587962544636	0.00533014872615713	20	18	0.517713483795877
Hsd17b8	0.0981587962544636	0.00533014872615713	20	0	0.465635319699632
Hdac5	0.116799280286141	0.00754717031043186	20	18	1.59812576360591
Rapgef4	0.116799280286141	0.00754717031043186	20	16	1.5605181382443
Zfp36l1	0.116799280286141	0.00754717031043186	20	18	1.45818527495018
Hmox1	0.116799280286141	0.00754717031043186	20	18	1.42175963755437
Rora	0.116799280286141	0.00754717031043186	20	18	1.32480316025978
Gas2l1	0.116799280286141	0.00754717031043186	20	18	1.26827799850756
Myl4	0.116799280286141	0.00754717031043186	24	4	1.25737987978901
Ca5a	0.116799280286141	0.00754717031043186	20	18	1.23005129539473
Sephs1	0.116799280286141	0.00754717031043186	20	18	1.22431122098896
Tdo2	0.116799280286141	0.00754717031043186	20	18	1.19418218747538
Rpain	0.116799280286141	0.00754717031043186	20	18	1.12941361883033
Blmh	0.116799280286141	0.00754717031043186	24	8	1.12801804783469
Iffo2	0.116799280286141	0.00754717031043186	20	16	1.10706701838597
Eif3i	0.116799280286141	0.00754717031043186	20	18	1.10518182445449
Cebpb	0.116799280286141	0.00754717031043186	20	16	1.09844251138027
Znf451	0.116799280286141	0.00754717031043186	20	18	1.08361795939384
Znf609	0.116799280286141	0.00754717031043186	20	18	1.0786338960553
Rpl17	0.116799280286141	0.00754717031043186	20	18	1.07048796828191
Znf473	0.116799280286141	0.00754717031043186	20	18	1.05495852015324
Pcna	0.116799280286141	0.00754717031043186	20	18	1.03827108479946
Ms4a1	0.116799280286141	0.00754717031043186	20	6	1.02122866365247
Qpctl	0.116799280286141	0.00754717031043186	24	4	0.906843330644961
Rab5if	0.116799280286141	0.00754717031043186	24	20	0.902177000132476
Pygl	0.116799280286141	0.00754717031043186	20	18	0.895152894556598
Hint3	0.116799280286141	0.00754717031043186	20	8	0.881079099192324
Mlf2	0.116799280286141	0.00754717031043186	20	18	0.860312360049287
Cideb	0.116799280286141	0.00754717031043186	24	2	0.853894350274289
Chmp2a	0.116799280286141	0.00754717031043186	24	16	0.84656633098973
Clk1	0.116799280286141	0.00754717031043186	20	10	0.843887870252834
Sbno1	0.116799280286141	0.00754717031043186	24	20	0.832253810931198
Capza2	0.116799280286141	0.00754717031043186	20	6	0.809774973535741
Tpi1	0.116799280286141	0.00754717031043186	24	8	0.78134262286691
Hspb1	0.116799280286141	0.00754717031043186	20	18	0.76961868193633
Repin1	0.116799280286141	0.00754717031043186	20	18	0.760982489733212
Ipo7	0.116799280286141	0.00754717031043186	24	20	0.75393807189989
Mal2	0.116799280286141	0.00754717031043186	20	6	0.749120380380773
Riok2	0.116799280286141	0.00754717031043186	24	18	0.746230277349103
Parg	0.116799280286141	0.00754717031043186	20	16	0.729971113612193
Hsd3b4	0.116799280286141	0.00754717031043186	20	16	0.719538363203027
Lad1	0.116799280286141	0.00754717031043186	20	6	0.719064978397013
Gmeb2	0.116799280286141	0.00754717031043186	20	18	0.692847225900644
Eif4g2	0.116799280286141	0.00754717031043186	22	0	0.671317547385918
Phf20l1	0.116799280286141	0.00754717031043186	24	0	0.65897676545771
Yif1a	0.116799280286141	0.00754717031043186	20	18	0.64803009999113
Pigq	0.116799280286141	0.00754717031043186	20	18	0.645578043123597
Ech1	0.116799280286141	0.00754717031043186	24	0	0.632973828880444
Znf526	0.116799280286141	0.00754717031043186	20	18	0.624891292507415
Cenpp	0.116799280286141	0.00754717031043186	20	2	0.55212615217476
Unknown_15	0.116799280286141	0.00754717031043186	24	8	0.495426659611566
Slain2	0.116799280286141	0.00754717031043186	20	2	0.482653092516946
